,ET_W,ET_S,secTw,secTs,ETwTs,ET,secT,routing,EM,dist,k,l
163,240.96385542168676,35.0,58063.57961968356,1712.3493975903616,8433.734939759037,275.96385542168673,76643.398896792,Largest,7,poi,1,100.0
164,327.961989610598,35.0,44087.97573391468,1712.3493975903616,36981.67315130132,362.961989610598,119763.67143410769,Sshaped,7,poi,1,100.0
165,189.9506623601928,35.0,39095.01604613347,2612.349397590362,7483.981627958072,224.9506623601928,56301.6895647873,Return,7,geo,1,100.0
166,240.96385542168676,35.0,58063.57961968356,2612.349397590362,8433.734939759037,275.96385542168673,77543.398896792,Largest,7,geo,1,100.0
167,310.4325900710363,35.0,39058.72630887121,2612.349397590362,37419.908139790394,345.4325900710363,116510.89198604236,Sshaped,7,geo,1,100.0
168,210.84337349397592,35.0,45196.85166368285,1562.3493975903616,7379.518072289157,245.84337349397592,61144.59807099886,Return,7,det,1,100.0
169,240.96385542168676,35.0,58063.57961968356,1562.3493975903616,8433.734939759037,275.96385542168673,76493.398896792,Largest,7,det,1,100.0
170,331.3253012048193,35.0,45160.561926420545,1562.3493975903616,36897.59036144578,366.3253012048193,120518.09204690246,Sshaped,7,det,1,100.0
171,203.3981153766079,35.0,42904.16670165679,1892.3493975903616,7416.744362875997,238.3981153766079,59256.36569014648,Return,7,negbin_5,1,100.0
172,240.96385542168676,35.0,58063.57961968356,1892.3493975903616,8433.734939759037,275.96385542168673,76823.398896792,Largest,7,negbin_5,1,100.0
173,323.88004308745116,35.0,42867.87696439446,1892.3493975903616,37083.72181437997,358.88004308745116,118927.66999074476,Sshaped,7,negbin_5,1,100.0
174,205.4209145436804,35.0,43501.31002108052,1802.3493975903616,7406.630367040634,240.4209145436804,59743.281017899484,Return,7,negbin_10,1,100.0
175,240.96385542168676,35.0,58063.57961968356,1802.3493975903616,8433.734939759037,275.96385542168673,76733.398896792,Largest,7,negbin_10,1,100.0
176,325.9028422545238,35.0,43465.020283818216,1802.3493975903616,37033.15183520317,360.9028422545238,119333.67335181491,Sshaped,7,negbin_10,1,100.0
177,206.10519839516007,35.0,43706.3336393342,1772.3493975903616,7403.208947783236,241.10519839516007,59911.46179763837,Return,7,negbin_15,1,100.0
178,240.96385542168676,35.0,58063.57961968356,1772.3493975903616,8433.734939759037,275.96385542168673,76703.398896792,Largest,7,negbin_15,1,100.0
179,326.58712610600344,35.0,43670.0439020719,1772.3493975903616,37016.04473891617,361.58712610600344,119474.4827774946,Sshaped,7,negbin_15,1,100.0
180,207.89229394412482,35.0,44251.42598184714,2069.3493975903616,7394.273470038412,242.89229394412482,60735.68318466166,Return,7,bin_50,1,100.0
181,240.96385542168676,35.0,58063.57961968356,2069.3493975903616,8433.734939759037,275.96385542168673,77000.398896792,Largest,7,bin_50,1,100.0
182,328.3742216549682,35.0,44215.13624458483,2069.3493975903616,36971.36735019206,363.3742216549682,120227.2203425593,Sshaped,7,bin_50,1,100.0
183,207.75496875274908,35.0,44208.95925879616,2075.3493975903616,7394.96009599529,242.75496875274908,60700.58971352443,Return,7,bin_75,1,100.0
184,240.96385542168676,35.0,58063.57961968356,2075.3493975903616,8433.734939759037,275.96385542168673,77006.398896792,Largest,7,bin_75,1,100.0
185,328.2368964635925,35.0,44172.669521533855,2075.3493975903616,36974.800479976446,363.2368964635925,120197.6198790771,Sshaped,7,bin_75,1,100.0
186,207.68627030384397,35.0,44187.75523832452,2078.3493975903616,7395.303588239817,242.68627030384397,60683.07267754185,Return,7,bin_100,1,100.0
187,240.96385542168676,35.0,58063.57961968356,2078.3493975903616,8433.734939759037,275.96385542168673,77009.398896792,Largest,7,bin_100,1,100.0
188,328.16819801468733,35.0,44151.46550106223,2078.3493975903616,36976.51794119908,363.16819801468733,120182.85078105076,Sshaped,7,bin_100,1,100.0
189,211.45359290894737,40.0,45573.65039679385,2160.5421686746986,8581.286252322734,251.45359290894737,64474.93316417701,Return,8,poi,1,100.0
190,240.96385542168676,40.0,58063.57961968356,2160.5421686746986,9638.554216867471,280.96385542168673,79501.2302220932,Largest,8,poi,1,100.0
191,331.93552061979074,40.0,45537.36065953155,2160.5421686746986,42906.431261613674,371.93552061979074,133510.7653514336,Sshaped,8,poi,1,100.0
